tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,features
tt0004972,The Birth of a Nation,1915,195,"Drama,War",6.1,28317,"Drama,War 1915"
tt0006206,Les Vampires,1915,421,"Action,Adventure,Crime",7.3,5863,"Action,Adventure,Crime 1915"
tt0006864,Intolerance,1916,210,"Drama,History",7.6,18006,"Drama,History 1916"
tt0009968,Broken Blossoms,1919,90,"Drama,Romance",7.2,11776,"Drama,Romance 1919"
tt0010323,The Cabinet of Dr. Caligari,1920,67,"Horror,Mystery,Thriller",8.0,76266,"Horror,Mystery,Thriller 1920"
tt0011130,Dr. Jekyll and Mr. Hyde,1920,69,"Drama,Horror,Sci-Fi",6.9,6679,"Drama,Horror,Sci-Fi 1920"
tt0011237,The Golem,1920,91,"Fantasy,Horror",7.2,9537,"Fantasy,Horror 1920"
tt0011841,Way Down East,1920,145,"Drama,Romance",7.3,6311,"Drama,Romance 1920"
tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.2,145832,"Comedy,Drama,Family 1921"
tt0012364,The Phantom Carriage,1921,107,"Drama,Fantasy,Horror",8.0,15797,"Drama,Fantasy,Horror 1921"
tt0012494,Destiny,1921,114,"Drama,Fantasy,Horror",7.6,7353,"Drama,Fantasy,Horror 1921"
tt0012532,Orphans of the Storm,1921,150,"Drama,History,Romance",7.3,5765,"Drama,History,Romance 1921"
tt0013086,"Dr. Mabuse, the Gambler",1922,195,"Crime,Mystery,Thriller",7.8,9947,"Crime,Mystery,Thriller 1922"
tt0013257,Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,19262,"Documentary,Fantasy,Horror 1922"
tt0013427,Nanook of the North,1922,78,Documentary,7.6,14428,Documentary 1922
tt0013442,Nosferatu,1922,94,"Fantasy,Horror",7.8,123474,"Fantasy,Horror 1922"
tt0014142,The Hunchback of Notre Dame,1923,133,"Drama,Horror,Romance",7.2,6827,"Drama,Horror,Romance 1923"
tt0014341,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.7,13552,"Comedy,Romance,Thriller 1923"
tt0014358,The Pilgrim,1923,47,"Comedy,Western",7.2,6233,"Comedy,Western 1923"
tt0014429,Safety Last!,1923,74,"Action,Comedy,Romance",8.1,24868,"Action,Comedy,Romance 1923"
tt0014538,Three Ages,1923,63,Comedy,7.0,5766,Comedy 1923
tt0014624,A Woman of Paris: A Drama of Fate,1923,82,"Drama,Romance",6.9,6968,"Drama,Romance 1923"
tt0015064,The Last Laugh,1924,90,Drama,8.0,16547,Drama 1924
tt0015163,The Navigator,1924,59,"Action,Adventure,Comedy",7.5,12066,"Action,Adventure,Comedy 1924"
tt0015174,Die Nibelungen: Kriemhild's Revenge,1924,129,"Adventure,Drama,Fantasy",7.9,5596,"Adventure,Drama,Fantasy 1924"
tt0015175,Die Nibelungen: Siegfried,1924,100,"Adventure,Drama,Fantasy",8.1,7297,"Adventure,Drama,Fantasy 1924"
tt0015324,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.1,65948,"Action,Comedy,Romance 1924"
tt0015361,Strike,1925,82,Drama,7.6,9512,Drama 1925
tt0015400,The Thief of Bagdad,1924,155,"Adventure,Family,Fantasy",7.7,7701,"Adventure,Family,Fantasy 1924"
tt0015532,The Adventures of Prince Achmed,1926,80,"Adventure,Animation,Drama",7.8,7743,"Adventure,Animation,Drama 1926"
tt0015624,The Big Parade,1925,151,"Drama,Romance,War",7.9,7833,"Drama,Romance,War 1925"
tt0015648,Battleship Potemkin,1925,66,"Drama,History,Thriller",7.9,65198,"Drama,History,Thriller 1925"
tt0015841,The Freshman,1925,77,"Comedy,Family,Romance",7.5,6606,"Comedy,Family,Romance 1925"
tt0015863,Go West,1925,83,"Comedy,Western",7.1,5589,"Comedy,Western 1925"
tt0015864,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.1,128229,"Adventure,Comedy,Drama 1925"
tt0015881,Greed,1924,140,"Drama,Thriller,Western",8.0,11575,"Drama,Thriller,Western 1924"
tt0016039,The Lost World,1925,110,"Adventure,Fantasy,Horror",7.0,6610,"Adventure,Fantasy,Horror 1925"
tt0016220,The Phantom of the Opera,1925,93,"Horror,Music",7.5,22227,"Horror,Music 1925"
tt0016332,Seven Chances,1925,56,"Comedy,Romance",7.8,13197,"Comedy,Romance 1925"
tt0016641,Ben-Hur: A Tale of the Christ,1925,143,"Action,Adventure,Drama",7.8,8398,"Action,Adventure,Drama 1925"
tt0016847,Faust,1926,107,"Drama,Fantasy,Horror",8.1,18355,"Drama,Fantasy,Horror 1926"
tt0017048,A Page of Madness,1926,70,"Drama,Horror,Thriller",7.3,5425,"Drama,Horror,Thriller 1926"
tt0017075,The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",7.3,15065,"Crime,Drama,Mystery 1927"
tt0017136,Metropolis,1927,150,"Drama,Sci-Fi",8.2,201452,"Drama,Sci-Fi 1927"
tt0017668,Berlin: Symphony of Metropolis,1927,65,Documentary,7.6,5171,Documentary 1927
tt0017765,College,1927,66,"Comedy,Drama,Sport",6.9,5858,"Comedy,Drama,Sport 1927"
tt0017925,The General,1926,78,"Action,Adventure,Comedy",8.1,105107,"Action,Adventure,Comedy 1926"
tt0018037,The Jazz Singer,1927,88,"Drama,Music,Musical",6.4,11929,"Drama,Music,Musical 1927"
tt0018051,The Kid Brother,1927,82,"Comedy,Drama,Family",7.6,5266,"Comedy,Drama,Family 1927"
tt0018192,Napoleon,1927,330,"Biography,Drama,History",8.2,9766,"Biography,Drama,History 1927"
tt0018217,October (Ten Days that Shook the World),1928,95,"Drama,History",7.4,9018,"Drama,History 1928"
tt0018455,Sunrise,1927,94,"Drama,Romance",8.1,56727,"Drama,Romance 1927"
tt0018528,The Unknown,1927,68,"Drama,Horror,Romance",7.7,10287,"Drama,Horror,Romance 1927"
tt0018578,Wings,1927,144,"Action,Drama,Romance",7.5,16339,"Action,Drama,Romance 1927"
tt0018737,Pandora's Box,1929,109,"Crime,Drama,Romance",7.7,12933,"Crime,Drama,Romance 1929"
tt0018742,The Cameraman,1928,76,"Comedy,Drama,Family",8.0,14579,"Comedy,Drama,Family 1928"
tt0018770,The Fall of the House of Usher,1928,72,"Drama,Fantasy,Horror",7.2,5054,"Drama,Fantasy,Horror 1928"
tt0018773,The Circus,1928,72,"Comedy,Family,Romance",8.1,38609,"Comedy,Family,Romance 1928"
tt0018806,The Crowd,1928,98,"Drama,Romance",8.0,10020,"Drama,Romance 1928"
tt0018839,The Docks of New York,1928,76,"Crime,Drama,Film-Noir",7.5,5512,"Crime,Drama,Film-Noir 1928"
tt0019071,The Last Command,1928,88,"Drama,Romance,War",7.9,5074,"Drama,Romance,War 1928"
tt0019130,The Man Who Laughs,1928,110,"Drama,Horror,Mystery",7.6,9220,"Drama,Horror,Mystery 1928"
tt0019254,The Passion of Joan of Arc,1928,114,"Biography,Drama,History",8.1,68378,"Biography,Drama,History 1928"
tt0019421,"Steamboat Bill, Jr.",1928,70,"Action,Comedy,Drama",7.8,17553,"Action,Comedy,Drama 1928"
